x_m,y_m,w_tr_left_m,w_tr_right_m
-756.469802,-449.7954,5.021432,5.021432
-756.338141,-445.6954,4.972069,4.972069
-755.671371,-441.1644,4.968451,4.968451
-754.755254,-437.4206,4.968372,4.968372
-753.245534,-433.5236,4.941022,4.941022
-751.015042,-429.2908,5.040532,5.040532
-748.820932,-425.2763,5.128285,5.128285
-746.507525,-421.0266,5.443382,5.443382
-743.999858,-416.8707,5.544221,5.544221
-741.368692,-412.7705,5.510845,5.510845
-738.753195,-408.7377,5.500597,5.500597
-736.10376,-404.649,5.503526,5.503526
-733.460954,-400.556,5.514343,5.514343
-730.799937,-396.4209,5.517748,5.517748
-728.173898,-392.3171,5.508625,5.508625
-725.54786,-388.2133,5.499502,5.499502
-722.921335,-384.1098,5.4898,5.4898
-720.289625,-380.0097,5.473909,5.473909
-717.657916,-375.9096,5.458018,5.458018
-715.040065,-371.8731,5.464998,5.464998
-712.385441,-367.7878,5.476362,5.476362
-709.730816,-363.7024,5.487725,5.487725
-706.999561,-359.771,5.391095,5.391095
-704.121301,-356.2204,4.975876,4.975876
-702.481149,-354.2046,5.488107,5.488107
-698.026131,-350.8423,5.761618,5.761618
